Date,Description,Original Description,Amount,Transaction Type,Category,Account Name
7/6/2015,Shell,Credit Card Advance SHELL OIL 57441614500 HILLS MIDate 07/05/15 24316055187548374034144 5542Card #3800,10.02,debit,Gas & Fuel,50 Platinum Visa
7/9/2015,Advance Mich Sos,Credit Card Advance MICH SOS ONLINE TRANS 517-2418816 MIDate 07/08/15 24755425190641901377785 9399Card #3800,176,debit,Business Services,50 Platinum Visa
7/10/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,351.94,debit,Credit Card Payment,28 Insured Money Management Acct
7/11/2015,Car Insurance,Credit Card Advance ESURANCE CAR INSURANCE 800-378-7262 CADate 07/11/15 24692165192000095701043 6300Card #3800,276.8,debit,Auto Insurance,50 Platinum Visa
7/12/2015,Belle Tire,Credit Card Advance BELLE TIRE 005 TROY MIDate 07/11/15 24388945193630157699322 5532Card #3800,152.3,debit,Service & Parts,50 Platinum Visa
7/13/2015,BP,Credit Card Advance MAPLE&TELEGRAPH BP BLOOMFIELD HI MIDate 07/12/15 24122545194740194250258 5542Card #3800,15,debit,Gas & Fuel,50 Platinum Visa
7/13/2015,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,28 Insured Money Management Acct
7/15/2015,BP,Credit Card Advance MAPLE&TELEGRAPH BP BLOOMFIELD HI MIDate 07/14/15 24122545196740196500260 5542Card #3800,10,debit,Gas & Fuel,50 Platinum Visa
7/16/2015,Advance Usa Snack,Credit Card Advance USA*Snack Soda Vending Detroit MIDate 07/16/15 24755425197171973801598 5814Card #3800,1.45,debit,Credit Card Payment,50 Platinum Visa
7/16/2015,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,353.3,debit,Credit Card Payment,28 Insured Money Management Acct
7/17/2015,Marathon,Credit Card Advance MARATHON PETRO023366 ROYAL OAK MIDate 07/17/15 24299105198001569298737 5542Card #3800,13,debit,Gas & Fuel,50 Platinum Visa
7/18/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 07/18/15 24224435200101055944708 5542Card #3800,5.31,debit,Gas & Fuel,50 Platinum Visa
7/18/2015,Advance Usa Snack,Credit Card Advance USA*Snack Soda Vending Detroit MIDate 07/17/15 24755425199121990779275 5814Card #3800,1.45,debit,Credit Card Payment,50 Platinum Visa
7/18/2015,Tim Horton's,Credit Card Advance TIM HORTONS #913781 DETROIT MIDate 07/17/15 24692165199000293749946 5814Card #3800,1,debit,Coffee Shops,50 Platinum Visa
7/19/2015,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,1000,debit,Transfer,28 Insured Money Management Acct
7/19/2015,Texas de Brazil,Credit Card Advance TEXAS DE BRAZIL - DETRO DETROIT MIDate 07/17/15 24073145200900010262339 5812Card #3800,27.51,debit,Restaurants,50 Platinum Visa
7/20/2015,Olga's Kitchen,Credit Card Advance OLGA'S KITCHEN - 1 DETROIT MIDate 07/20/15 24224435202102000702132 5812Card #3800,5.71,debit,Restaurants,50 Platinum Visa
7/20/2015,Check 1003,Draft Withdrawal 001003,1000,debit,Check,88 Totally Green Checking
7/21/2015,Tim Horton's,Credit Card Advance TIM HORTONS #913781 DETROIT MIDate 07/20/15 24692165202000689890051 5814Card #3800,1,debit,Coffee Shops,50 Platinum Visa
7/23/2015,Newegg,Credit Card Advance WWW.NEWEGG.COM 800-390-1119 CADate 07/23/15 24692165204000980605560 5732Card #3800,12.99,debit,Electronics & Software,50 Platinum Visa
7/23/2015,Tim Horton's,Credit Card Advance TIM HORTONS #913781 DETROIT MIDate 07/22/15 24692165204000647487287 5814Card #3800,1,debit,Coffee Shops,50 Platinum Visa
7/23/2015,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,28 Insured Money Management Acct
7/24/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,524.52,debit,Credit Card Payment,08 Spartan Saver
7/26/2015,Advance Cafe Kabob,Credit Card Advance CAFE KABOB MEDITERRANE DETROIT MIDate 07/24/15 24071055207987180766898 5814Card #3800,10.31,debit,Credit Card Payment,50 Platinum Visa
7/26/2015,The Henry Ford,Credit Card Advance THE HENRY FORD DEARBORN MIDate 07/25/15 24445005207100536210991 7991Card #3800,34,debit,Amusement,50 Platinum Visa
7/26/2015,Advance Spartan Ticket,Credit Card Advance SPARTAN TICKET ONLINE 517-355-1610 MIDate 07/25/15 24435655207200328703601 7999Card #3800,180,debit,Business Services,50 Platinum Visa
7/27/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,224.31,debit,Credit Card Payment,08 Spartan Saver
7/29/2015,Advance Msu Payments,Credit Card Advance MSU PAYMENTS 517-355-5023 MIDate 07/28/15 24435655209207051801344 8220Card #3800,292,debit,Business Services,50 Platinum Visa
7/29/2015,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,228.55,debit,Credit Card Payment,08 Spartan Saver
7/30/2015,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,40,debit,Transfer,08 Spartan Saver
7/30/2015,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,627.63,debit,Transfer,08 Spartan Saver
7/31/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 07/30/15 24224435212103014770139 5542Card #3800,16.01,debit,Gas & Fuel,50 Platinum Visa
8/2/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 08/02/15 24224435215101049693950 5541Card #3800,21.58,debit,Gas & Fuel,50 Platinum Visa
8/3/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,329.59,debit,Credit Card Payment,08 Spartan Saver
8/4/2015,Jimmy John's,Credit Card Advance JIMMY JOHN'S # 421 DETROIT MIDate 08/03/15 24071055216985385276845 5814Card #3800,13.85,debit,Restaurants,50 Platinum Visa
8/5/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 08/05/15 24224435218102018966556 5542Card #3800,15.03,debit,Gas & Fuel,50 Platinum Visa
8/5/2015,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,308.59,debit,Credit Card Payment,08 Spartan Saver
8/6/2015,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,28 Insured Money Management Acct
8/8/2015,Bangkok Crossing,Credit Card Advance BANGKOK CROSSINGS DETROIT MIDate 08/07/15 24736935219000685060241 5812Card #3800,11.49,debit,Restaurants,50 Platinum Visa
8/9/2015,Detroit Institute Of Arts,Credit Card Advance DETROIT INSTITUTE OF AR DETROIT MIDate 08/08/15 24055235221207088700356 7523Card #3800,7,debit,Entertainment,50 Platinum Visa
8/12/2015,Advance Freshii Midate,Credit Card Advance FRESHII DETROIT MIDate 08/11/15 24690295224001659418817 5812Card #3800,6.88,debit,Credit Card Payment,50 Platinum Visa
8/12/2015,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,294.11,debit,Credit Card Payment,08 Spartan Saver
8/12/2015,Tim Horton's,Credit Card Advance TIM HORTONS #913781 DETROIT MIDate 08/11/15 24692165224000346861713 5814Card #3800,3.22,debit,Coffee Shops,50 Platinum Visa
8/13/2015,Advance Bedrock Cafe,Credit Card Advance BEDROCK CAFE 11303856 DETROIT MIDate 08/12/15 24164075225937310434580 5814Card #3800,5.29,debit,Credit Card Payment,50 Platinum Visa
8/13/2015,Chipotle,Credit Card Advance CHIPOTLE 0860 SOUTHFIELD MIDate 08/12/15 24431065225200488402675 5814Card #3800,7.63,debit,Fast Food,50 Platinum Visa
8/14/2015,Tim Horton's,Credit Card Advance TIM HORTONS #913781 DETROIT MIDate 08/13/15 24692165226000313445043 5814Card #3800,2.69,debit,Coffee Shops,50 Platinum Visa
8/15/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 08/15/15 24224435228101058936089 5542Card #3800,36.89,debit,Gas & Fuel,50 Platinum Visa
8/15/2015,Car Insurance,Credit Card Advance ESURANCE CAR INSURANCE 800-378-7262 CADate 08/15/15 24692165227000032906894 6300Card #3800,276.8,debit,Auto Insurance,50 Platinum Visa
8/16/2015,Panera Bread,Credit Card Advance PANERA BREAD #715 OKEMOS MIDate 08/15/15 24427335227720009282984 5814Card #3800,8.15,debit,Fast Food,50 Platinum Visa
8/17/2015,Advance Wpy Ncf,Credit Card Advance WPY*The NCF s Campagin 855-469-3729 CADate 08/16/15 24445005229100456707582 8398Card #3800,20,debit,Business Services,50 Platinum Visa
